userID,name,dateOfBirth,age,phone,username,password,role,createDate
7810,Ngo Thi Hien,09/06/1988,35,0937236961,ngothihien,3ZMvn0cJ,USER,17/07/2024
4565,Vu Van Hieu,09/12/1977,33,0392252271,vuvanhieu,KGnrsuQL,USER,15/07/2024
5498,Bui Thi Phuong,13/02/2004,31,0310665166,buithiphuong,LpCFWzBg,USER,15/02/2024
6174,Ngo Thi Hoang,08/04/2002,39,0605697461,ngothihoang,pkTDmkBv,USER,03/08/2024
2177,Ngo Van Quoc,15/04/1975,32,0471305290,ngovanquoc,JYIBO2Td,USER,31/03/2024
5619,Bui Thi Ha,03/12/1976,52,0948162430,buithiha,09AbLLDR,USER,31/03/2024
9090,Tran Van Khanh,19/05/1996,43,0927386504,tranvankhanh,m31HVvWk,USER,24/05/2024
1000,Do Thi Lan,04/03/1983,20,0897453201,dothilan,Y7q7yOgH,USER,05/06/2024
4904,Tran Van Lam,23/01/1971,21,0871345602,tranvanlam,Qr96U3jh,USER,13/09/2024
6673,Dang Thi Quynh,24/05/1980,24,0857439286,dangthiquynh,vQiLaGcC,USER,14/08/2024
9737,Hoang Thi Oanh,25/09/1980,57,0819564730,hoangthioanh,Bx44J9iB,USER,31/10/2024
9061,Nguyen Van An,05/07/1980,32,0802365981,nguyenvanan,9c6mtLep,USER,24/05/2024
1181,Nguyen Van Cuong,02/04/1998,36,0896543270,nguyenvancuong,PjSnqyUH,USER,17/06/2024
6534,Nguyen Thi Hoa,05/03/1994,28,0846231795,nguyenthihhoa,L5mEIABc,USER,11/11/2024
5065,Tran Van Minh,19/04/1985,38,0867124930,tranvanminh,aKHy9WVk,USER,02/02/2024
6281,Hoang Van Nam,11/12/1989,34,0825349761,hoangvannam,qLMkWUJV,USER,13/01/2024
9172,Ngo Van Son,25/06/1990,30,0819476532,ngovanson,pTMEAH1W,USER,20/04/2024
1608,Bui Thi Anh,14/05/1987,31,0883954710,buithianh,w23nUy9J,USER,10/07/2024
6448,Nguyen Van Loc,08/01/1995,28,0837461295,nguyenvanloc,UQ7nMI54,USER,18/09/2024
6998,Tran Thi Thao,15/07/1993,29,0809452673,tranthithao,MkEHy67D,USER,12/05/2024
2084,Le Van Khoa,13/03/1986,35,0872364915,levankhoa,RyHnM89J,USER,19/11/2024
2635,Nguyen Thi Lien,25/05/1992,32,0897456321,nguyenthilien,WJHy57Lk,USER,02/07/2024
8792,Le Van Binh,15/01/1990,33,0803497652,levanbinh,PkU67MEq,USER,18/06/2024
6808,Bui Van Cuong,22/10/1989,34,0865124397,buivancuong,PLm57UEO,USER,04/02/2024
9732,Tran Thi Lan,17/11/1990,33,0857146239,tranthilan,MUEy9R6L,USER,29/03/2024
6906,Vu Van Hoang,08/08/1984,39,0835624710,vuvanhoang,JYUM7P9E,USER,27/06/2024
9026,Tran Van Hai,18/11/1988,35,0829357614,tranvanhai,MJ5RUY9E,USER,02/10/2024
6491,Ngo Van Kiet,22/08/1985,38,0847103625,ngovankiet,PKQ79UME,USER,12/11/2024
